category,description,label
디자인,어딜 가든 주목받는 디자인.,0
디자인,보고 또 봐도 보고 싶은 디자인.,0
디자인,질리지가 않는다.,0
디자인,환상적인 색채.,0
디자인,유선형이 주는 편안함.,0
디자인,포근한 색감이 쌓인다.,0
디자인,"오직, 당신만을 위한 디자인.",0
디자인,당신의 눈을 쉬게 해줄 디자인.,0
디자인,그 무엇보다 인체 공학적이죠.,0
디자인,완벽한 밸런스와 이상적인 비율.,0
디자인,완전히 새로워진 디자인.,0
디자인,새롭게 선보이는 디자인.,0
디자인,당신을 놀랍게 할 디자인.,0
디자인,당신에게 걸맞는 디자인.,0
디자인,시선을 사로잡는 독보적인 컬러.,0
디자인,놀랍도록 섬세한 디테일.,0
디자인,그 무엇보다 새로운 차원의 스타일이죠.,0
디자인,궁극의 디자인이란 이런 것.,0
디자인,그 무엇보다 독보적인 디자인.,0
내구성,방수쯤은 일도 아니죠.,1
내구성,막 다루어도 흠집 하나 안 나요.,1
내구성,부드러우면서도 견고한 프레임.,1
내구성,몇 번을 떨어뜨려도 유지되는 내구성.,1
내구성,완전히 새로워진 내구성.,1
내구성,당신의 실수가 아무것도 아닌 이유.,1
내구성,한시도 빈틈없는 견고함.,1
내구성,커피쯤은 흘려도 괜찮아요.,1
내구성,아름답다고 모두 약한 건 아니죠.,1
내구성,이제는 내구성도 갖추었다.,1
내구성,"어디서든, 안전하게.",1
내구성,막 다루어도 흠집 하나 안 나요.,1
내구성,당신 곁에서 더욱 빛나는 견고함.,1
내구성,긴 세월에도 끄떡 없다.,1
내구성,궁극의 내구성이란 이런 것.,1
내구성,놀라운 안정감을 만나보세요.,1
내구성,늘 함께할 준비가 되어 있습니다.,1
내구성,무한에 가까운 수명.,1
내구성,언제나 당신 곁에.,1
내구성,예상치 못한 실수까지 커버하다.,1
사용감-미개봉,언박싱은 당신의 몫이에요.,2
사용감-미개봉,사용감 제로.,2
사용감-미개봉,완벽한 언박싱.,2
사용감-미개봉,언박싱 정도는 당연하죠.,2
사용감-미개봉,궁극의 중고란 이런 것.,2
사용감-미개봉,당신을 놀랍게 할 언박싱.,2
사용감-미개봉,당신에게 걸맞는 언박싱.,2
사용감-미개봉,언박싱이 주는 새로움.,2
사용감-미개봉,언박싱이 주는 놀라움.,2
사용감-미개봉,중고라고 누군가가 사용하던 것은 아니죠.,2
사용감-미개봉,새롭게 선보이는 언박싱.,2
사용감-미개봉,언박싱 정도는 일도 아니죠.,2
사용감-미개봉,중고를 넘어서는 압도적인 언박싱.,2
사용감-미개봉,독보적인 언박싱.,2
사용감-미개봉,언박싱을 위한 만반의 준비가 되어 있죠.,2
사용감-미개봉,중고와는 전혀 다른 강력한 언박싱.,2
사용감-미개봉,사용감이 없는 것은 당연하죠.,2
사용감-미개봉,부담 없이 누리는 언박싱.,2
사용감-미개봉,당신만을 위한 언박싱.,2
사용감-미개봉,거침없는 언박싱.,2
사용감-거의 새 것,중고라고 완전히 오래된 것은 아니죠.,3
사용감-거의 새 것,보다 부담 없이 누리는 새로움.,3
사용감-거의 새 것,언박싱만이 시작은 아닌 법.,3
사용감-거의 새 것,손색없는 새로운 시작.,3
사용감-거의 새 것,진짜 실력 발휘는 언박싱이 아니죠.,3
사용감-거의 새 것,당신이 꿈꿔왔던 부담없는 시작.,3
사용감-거의 새 것,당신만을 위한 가벼운 시작.,3
사용감-거의 새 것,이상적. 그러나 합리적.,3
사용감-거의 새 것,미소가 절로 나는 부담없는 시작.,3
사용감-거의 새 것,당신만의 스타일로 새롭게 시작.,3
사용감-거의 새 것,새롭게 선보이는 합리적인 시작.,3
사용감-거의 새 것,절대 뒤처지지 않는 중고.,3
사용감-거의 새 것,물건을 더 길게 쓰는 법.,3
사용감-거의 새 것,즐거움 가득한 가벼운 시작을 원한다면.,3
사용감-거의 새 것,가벼운 시작은 지구에도 좋은 법.,3
사용감-거의 새 것,언박싱만이 새로움은 아니죠.,3
사용감-거의 새 것,당신을 놀라게 할 부담없는 시작.,3
사용감-거의 새 것,"능력은 그대로, 시작은 가볍게.",3
사용감-거의 새 것,"만족스러운 중고, 기분 좋은 시작.",3
사용감-거의 새 것,"능력은 그대로, 시작은 부담없게.",3
사용감-사용감 있음,완전히 새로운 주인을 만나다.,4
사용감-사용감 있음,중고의 가치를 최대한 활용하는 것.,4
사용감-사용감 있음,그 어느 때보다 부담 없는 중고.,4
사용감-사용감 있음,더욱 부담없는 중고 구입.,4
사용감-사용감 있음,지구의 미래에 보탬이 되는 거래.,4
사용감-사용감 있음,놀랍도록 합리적인 가격의 거래.,4
사용감-사용감 있음,가지고 싶던 것을 합리적으로 구입.,4
사용감-사용감 있음,놀랍도록 부담없는 중고.,4
사용감-사용감 있음,때로는 사용감 있는 것도 좋죠.,4
사용감-사용감 있음,상태에 상관없이 당신에게 좋은 거래.,4
사용감-사용감 있음,오래되었다고 모두 안 좋은 것은 아니죠.,4
사용감-사용감 있음,겉모습만 보고 판단하기엔 일러요.,4
사용감-사용감 있음,환경을 위한 최선의 선택.,4
사용감-사용감 있음,새로운 것만이 항상 좋은 것은 아니죠.,4
사용감-사용감 있음,연식이 다가 아니죠.,4
사용감-사용감 있음,겉모습만이 다가 아니죠.,4
사용감-사용감 있음,오래봐야 그 매력이 짙어지는 법.,4
사용감-사용감 있음,완전히 새롭게 활용하는 매력.,4
사용감-사용감 있음,지구를 위한 합리적인 선택.,4
사용감-사용감 있음,지난 시간이 더욱 빛나는 이유.,4